date,product_id,category,stock_available,stockout_hours,supplier_delay
2026-08-01,P101,Electronics,500,0,0
2026-08-02,P101,Electronics,490,0,0
2026-08-03,P101,Electronics,475,0,0
2026-08-04,P102,Electronics,450,0,0
2026-08-05,P102,Electronics,440,0,0
2026-08-06,P103,Clothing,700,0,0
2026-08-07,P103,Clothing,680,0,0
2026-08-08,P104,Home,550,0,0
2026-08-09,P104,Home,530,0,0
2026-08-10,P101,Electronics,300,4,1
2026-08-11,P101,Electronics,220,6,1
2026-08-12,P102,Electronics,180,8,2
2026-08-13,P102,Electronics,150,10,2
2026-08-14,P101,Electronics,120,12,3
2026-08-15,P102,Electronics,100,14,3
