date,product_id,category,region,quantity,unit_price,cost,revenue
2026-08-01,P101,Electronics,North,120,500,350,60000
2026-08-02,P101,Electronics,North,118,500,350,59000
2026-08-03,P101,Electronics,North,125,500,350,62500
2026-08-04,P102,Electronics,South,110,550,380,60500
2026-08-05,P102,Electronics,South,115,550,380,63250
2026-08-06,P103,Clothing,North,200,200,120,40000
2026-08-07,P103,Clothing,North,210,200,120,42000
2026-08-08,P104,Home,West,150,300,180,45000
2026-08-09,P104,Home,West,145,300,180,43500
2026-08-10,P101,Electronics,North,100,500,350,50000
2026-08-11,P101,Electronics,North,95,500,350,47500
2026-08-12,P102,Electronics,South,90,550,380,49500
2026-08-13,P102,Electronics,South,85,550,380,46750
2026-08-14,P103,Clothing,North,205,200,120,41000
2026-08-15,P104,Home,West,140,300,180,42000
